recipe_id,recipe_name,category,area,country,ingredient_names,ingredient_measures,ingredient_count,source_url,youtube_url,thumbnail_url,mealdb_url,fetched_at
mealdb#53213,Thai-style fish broth with greens,Seafood,Thai,Thailand,Brown Rice Noodle|Chicken Stock|Thai Red Curry Paste|Lime Leaves|Fish Sauce|White Fish|Raw King Prawns|Pak Choi|Coriander Leaves,100g|500ml|1 tblsp|4|1 tblsp|200g|100g|2|Handful,9,https://www.bbcgoodfood.com/recipes/thai-style-fish-broth-greens,https://www.youtube.com/watch?v=rRwnwCd5om8,https://www.themealdb.com/images/media/meals/a2ec961763587756.jpg,https://www.themealdb.com/meal/53213,2026-08-10T01:05:06Z
mealdb#53202,Thai-style steamed fish,Seafood,Thai,Thailand,Trout|Ginger|Garlic Clove|Red Chilli|Lime|Baby Pak Koi|Soy Sauce,2|Knob|1 small finely diced|1 small finely diced|Juice/zest of one|3|2 tblsp,7,https://www.bbcgoodfood.com/recipes/thai-style-steamed-fish,https://www.youtube.com/watch?v=KQ-dl8fuBlQ,https://www.themealdb.com/images/media/meals/yx8j1i1763484612.jpg,https://www.themealdb.com/meal/53202,2026-08-10T01:05:06Z
mealdb#53207,Tom kha gai,Chicken,Thai,Thailand,Chicken Stock|Coconut Milk|Galangal Paste|Lemongrass Stalks|Lime Leaves|Chicken Thighs|Oyster Mushrooms|Birds-eye Chillies|Caster Sugar|Fish Sauce|Lime|Coriander Leaves|Rice,800ml|800g|2 tablespoons|2|8|500g|300g|6|1 tablespoon|5 tablespoons|Juice of 3|To serve|To serve,13,https://www.bbcgoodfood.com/recipes/tom-kha-gai,https://www.youtube.com/watch?v=2BbIZwmIP7Q,https://www.themealdb.com/images/media/meals/ol2xxt1763582263.jpg,https://www.themealdb.com/meal/53207,2026-08-10T01:05:06Z
mealdb#53196,Tom yum (hot & sour) soup with prawns,Seafood,Thai,Thailand,Chicken Stock|Lemongrass|Galangal|Coriander|makrut lime leaves|King Prawns|Fish Sauce|Green Chilli|Lime juice,700ml|1|5 Slices|6|3|6|3 tablespoons|6 small|4 tablespoons,9,https://www.bbcgoodfood.com/recipes/tom-yum-hot-sour-soup-prawns,https://www.youtube.com/watch?v=FJer_Cutb2I,https://www.themealdb.com/images/media/meals/9c5nlx1763424766.jpg,https://www.themealdb.com/meal/53196,2026-08-10T01:05:06Z
mealdb#53194,Tom yum soup with prawns,Seafood,Thai,Thailand,Onion|Tomato|Red Chilli|Galangal|Lemongrass Stalks|Raw King Prawns|Chicken Stock Cube|Oyster Mushrooms|makrut lime leaves|Fish Sauce|Lime juice|Coconut Milk|Thai Chilli Jam|Coriander,200g|150g|20g|15g|2|250g|1|120g|8|25 ml|25 ml|70 ml|1 tblsp|Handful,14,https://www.bbcgoodfood.com/recipes/tom-yum-soup-with-prawns,https://www.youtube.com/watch?v=fvLcZg9gNnE,https://www.themealdb.com/images/media/meals/l50vz41763422681.jpg,https://www.themealdb.com/meal/53194,2026-08-10T01:05:06Z
mealdb#53239,Bang bang prawn salad,Seafood,Vietnamese,Vietnam,Rice Noodles|Peanut Butter|Coconut Milk|sweet chilli sauce|Spring Onions|Cucumber|Bean Sprouts|Prawns,140g|3 tablespoons|4 tablespoons|3 tablespoons|3 sliced thinly|1 sliced|300g|200g,8,https://www.bbcgoodfood.com/recipes/bang-bang-prawn-salad,https://www.youtube.com/watch?v=Na-6-lzs2wU,https://www.themealdb.com/images/media/meals/4xcfai1763765676.jpg,https://www.themealdb.com/meal/53239,2026-08-10T01:05:06Z
mealdb#53242,Barbecue pork buns,Pork,Vietnamese,Vietnam,Sugar|White Bread Mix|Sunflower Oil|Bacon|Ginger|Garlic|Soy Sauce|Clear Honey|Tomato Puree|Egg,85g|500g|1 tablespoon|12|Knob|2 cloves chopped|2 tablespoons|3 tablespoons|3 tablespoons|1 beaten,10,https://www.bbcgoodfood.com/recipes/barbecue-pork-buns,https://www.youtube.com/watch?v=T3mBULRIcY8,https://www.themealdb.com/images/media/meals/tzsy461763769901.jpg,https://www.themealdb.com/meal/53242,2026-08-10T01:05:06Z
mealdb#52997,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",Beef,Vietnamese,Vietnam,Rice|Onion|Lime|Garlic Clove|Cucumber|Carrots|Ground Beef|Soy Sauce,White|1|1|3|1|3 oz|1 lb|2 oz,8,,,https://www.themealdb.com/images/media/meals/z0ageb1583189517.jpg,https://www.themealdb.com/meal/52997,2026-08-10T01:05:06Z
mealdb#53238,Beef pho,Beef,Vietnamese,Vietnam,Beef Stock|Onion|Ginger|Cinnamon Stick|Star Anise|Coriander Seeds|Cloves|Sirloin steak|Palm Sugar|Fish Sauce|Soy Sauce|Rice Noodles|Spring Onions|Birds-eye Chillies|Basil|Coriander|Lime,1 L|1 large|1 Large Chopped|1|2|1 tsp|1/2 teaspoon|225g|1 tsp|1 tablespoon|1 ½ tbsp|200g|2 sliced|1 small|Handful|Handful|1,17,https://www.bbcgoodfood.com/recipes/beef-pho,https://www.youtube.com/watch?v=WlosNFMCnE4,https://www.themealdb.com/images/media/meals/pbzcrx1763765096.jpg,https://www.themealdb.com/meal/53238,2026-08-10T01:05:06Z
mealdb#53245,Noodle bowl salad,Seafood,Vietnamese,Vietnam,Rice Noodles|Sugar Snap Peas|Sesame Seed Oil|Spring Onions|Coriander|Hot Smoked Flaked Salmon|Pretzels|Soy Sauce|Clear Honey|Lemon Juice|Ground Nut Oil|Garlic|Ginger,125g|200g|2 tsp|4 sliced|Handful|150g|To serve|3 tablespoons|1 tablespoon|1 tablespoon|1 tablespoon|1 clove finely chopped|Knob,13,https://www.bbcgoodfood.com/recipes/noodle-bowl-salad,https://www.youtube.com/watch?v=7EAdKeikJ9o,https://www.themealdb.com/images/media/meals/zry07j1763779321.jpg,https://www.themealdb.com/meal/53245,2026-08-10T01:05:06Z
