primary_key,store_id,store_name,chain,region,product_id,product_name,brand,size,price,category
new_world_newmarket_5344231-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5344231-EA-000,Pork & Beef Mince,Hellers,380g,9.99,Beef & Lamb
new_world_newmarket_5103401-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5103401-KGM-000,Beef Rump Steak,,kg,36.99,Beef & Lamb
new_world_newmarket_5102637-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5102637-KGM-000,Beef Scotch Fillet Steak,,kg,56.99,Beef & Lamb
new_world_newmarket_5123919-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5123919-KGM-000,NZ Beef Sirloin Steak,,kg,49.99,Beef & Lamb
new_world_newmarket_5263318-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5263318-EA-000,New Zealand Grass-Fed Beef Eye Fillet Steaks,Silver Fern Farms,300g,27.99,Beef & Lamb
new_world_newmarket_5289492-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5289492-EA-000,Flat Iron Wagyu Beef Steak,First Light,250g,13.99,Beef & Lamb
new_world_newmarket_5201797-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5201797-KGM-000,Mustard Roast Beef,,kg,60.9,Beef & Lamb
new_world_newmarket_5020110-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5020110-EA-000,Roast Beef & Veggies Frozen Meal,Tomorrow's Meals,400g,11.89,Frozen Foods
new_world_newmarket_5328768-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5328768-EA-000,Gourmet Everyday Balsamic Roast Beef With Potato Bake,Jess's Underground Kitchen,400g,13.99,Beef & Lamb
new_world_newmarket_5323876-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5323876-EA-000,Adult Gravy Lovers Beef Feast Roasted Beef Flavor Gravy Wet Cat Food,Purina Fancy Feast,85g,1.89,Beef & Lamb
new_world_newmarket_5242832-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5242832-EA-000,Free Range Traditional Pork Sausages,Harmony,450g,11.99,Beef & Lamb
new_world_newmarket_5252609-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5252609-EA-000,Free Range Pork & Apple Sausages,Harmony,450g,11.99,Beef & Lamb
new_world_newmarket_5232418-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5232418-KGM-000,Chinese BBQ Pork Ribs,Beak & Sons,kg,21.99,Beef & Lamb
new_world_newmarket_5242842-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5242842-EA-000,Free Range Pork & Fennel Sausages,Harmony,450g,11.99,Beef & Lamb
new_world_newmarket_5264091-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5264091-EA-000,Craft Country Pork Sausages,Hellers,6pk,12.99,Beef & Lamb
