primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
pakn_save_5001524-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5001524-EA-000,Spirals Pasta,Diamond,500g,2.59,"Pasta, Rice & Noodles"
pakn_save_5319766-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5319766-EA-000,Penne Pasta,Pasta Maria,400g,1.29,"Pasta, Rice & Noodles"
pakn_save_5319769-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5319769-EA-000,Spaghetti,Pasta Maria,400g,1.29,"Pasta, Rice & Noodles"
pakn_save_5002515-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5002515-EA-000,Penne Pasta,Diamond,500g,2.59,"Pasta, Rice & Noodles"
pakn_save_5026740-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5026740-EA-000,Mi Goreng Barbeque Chicken Noodles,Indomie,10 x 85g,7.49,"Pasta, Rice & Noodles"
pakn_save_5026741-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5026741-EA-000,Mi Goreng Noodles,Indomie,10 x 85g,7.49,"Pasta, Rice & Noodles"
pakn_save_5206566-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5206566-EA-000,Chicken Instant Noodles,Yum Yum,5 x 60g,2.79,"Pasta, Rice & Noodles"
pakn_save_5025795-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5025795-EA-000,Chicken Flavour 2 Minute Noodles,Fantastic,425g,2.5,"Pasta, Rice & Noodles"
pakn_save_5011663-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5011663-EA-000,Chicken Flavour 2 Minute Noodles,Fantastic,850g,5.49,"Pasta, Rice & Noodles"
pakn_save_5003829-EA-000,92086ded-a55d-4241-a364-7d7ea91531b4,PAK'nSAVE Lincoln Road,5003829-EA-000,Pure Plain Flour,Pams,1.5kg,1.89,Baking Supplies & Sugar
